"GSE","Platform","Organism","nSamples","hasTreatmentField","nControl","nAgents","Agents","hasCellLine","hasGenotype","usable","Title"
"GSE103223","GPL16686","Homo sapiens",9,FALSE,0,0,"",FALSE,FALSE,FALSE,"CD34+ cells from mast cell leukemia and healthy bone marrow"
"GSE103495","GPL15433","Homo sapiens",9,TRUE,0,2,"Ctrl; FTO inhibition",TRUE,FALSE,FALSE,"RNA seq with AML (NB4) cells upon FTO inhibition"
"GSE103497","GPL15433","Homo sapiens",13,TRUE,0,2,"Ctrl; FTO inhibition",TRUE,FALSE,FALSE,"RNA-seq and m6A-seq of AML cells with FTO knockdown or inhibition"
"GSE103510","GPL11154","Homo sapiens",12,TRUE,6,1,"AC-4-130",TRUE,TRUE,TRUE,"Pharmacologic inhibition of STAT5 in AML"
"GSE105161","GPL20301","Homo sapiens",12,TRUE,6,2,"AC220; IMATINIB",TRUE,TRUE,TRUE,"Glutaminolysis is a metabolic dependency in FLT3 ITD Acute Myeloid Leukemia unmasked by FL"
"GSE106579","GPL18573","Homo sapiens",45,TRUE,24,1,"DTRIM24",TRUE,FALSE,TRUE,"Functional TRIM24 degraders via conjugation of ineffectual bromodomain and VHL ligands [RN"
"GSE107071","GPL16791","Homo sapiens",6,TRUE,3,1,"MARK MRT199665",TRUE,FALSE,TRUE,"MEF2C phosphorylation is required for chemotherapy resistance in acute myeloid leukemia [i"
"GSE107073","GPL16791","Homo sapiens",30,TRUE,15,2,"doxycycline; MARK MRT199665",TRUE,FALSE,TRUE,"MEF2C phosphorylation is required for chemotherapy resistance in acute myeloid leukemia"
"GSE109491","GPL18573","Homo sapiens",14,TRUE,2,1,"HG-9-91-01",TRUE,FALSE,TRUE,"LKB1, Salt-Inducible Kinases, and MEF2C are linked dependencies in acute myeloid leukemia "
"GSE109493","GPL18573","Homo sapiens",34,TRUE,6,4,"day 5 after sgLKB1e2 guideRNA infection; day 5 after sgNeg2 guideRNA infection; day 5 after sgSIK3e4 guideRNA infection; HG-9-91-01",TRUE,FALSE,TRUE,"LKB1, Salt-Inducible Kinases, and MEF2C are linked dependencies in acute myeloid leukemia"
"GSE109985","GPL11154","Homo sapiens",9,TRUE,3,2,"BRD0320; BRD0705",TRUE,FALSE,TRUE,"Genome-wide transcriptional profiles for the GSK3α selective inhibitor BRD0507 and for the"
"GSE109986","GPL18573","Homo sapiens",6,TRUE,3,1,"BRD3731",TRUE,FALSE,TRUE,"Genome-wide transcriptional profile for the GSK3β selective inhibitor BRD3731"
"GSE109987","GPL11154","Homo sapiens",9,TRUE,3,2,"BRD0320; BRD0705",TRUE,FALSE,TRUE,"Exploiting an Asp-Glu """"switch"""" in glycogen synthase kinase 3 to design paralog selective"
"GSE111178","GPL18573","Homo sapiens",33,TRUE,9,5,"dTAG-47; Selinexor; sgCD19; sgCD45; sgNPM1c",TRUE,FALSE,TRUE,"Cytoplasmic NPM1 maintains the leukemic state through HOX expression [RNA-seq]  "
"GSE111180","GPL18573","Homo sapiens",47,TRUE,12,5,"dTAG-47; Selinexor; sgCD19; sgCD45; sgNPM1c",TRUE,FALSE,TRUE,"Cytoplasmic NPM1 maintains the leukemic state through HOX expression"
"GSE111463","GPL16791","Homo sapiens",106,TRUE,39,5,"100µM indole-3-acetic acid, 60 min; 100µM indole-3-acetic acid, 90 min; 1µM JQ1, 90 min; 5µM JQ1, 90 min; JQ1, 90 min",TRUE,FALSE,TRUE,"SLAM-seq defines direct gene-regulatory functions of the BRD4-MYC axis"
"GSE111949","GPL11154","Homo sapiens",4,TRUE,2,1,"APTO-253",TRUE,FALSE,TRUE,"Differential expression analysis from MV4-11 cells treated with or without APTO-253 for 6 "
"GSE113041","GPL18573","Homo sapiens",32,TRUE,4,1,"dBRD9",TRUE,FALSE,TRUE,"A non-canonical SWI/SNF complex underlies synthetic lethality in cancers driven by BAF com"
"GSE113042","GPL18573","Homo sapiens",75,TRUE,8,1,"dBRD9",TRUE,FALSE,TRUE,"A non-canonical SWI/SNF complex underlies synthetic lethality in cancers driven by BAF com"
"GSE114320","GPL11154","Homo sapiens",16,TRUE,8,1,"Ro 08-2750",TRUE,FALSE,TRUE,"Effect of Ro 08-2750 treatment on gene expression of human leukemia cell lines MOLM13 and "
"GSE114558","GPL20301","Homo sapiens",39,TRUE,8,4,"CRISPER sgRBM39; CRISPER sgRosa; E7107; E7820",TRUE,TRUE,TRUE,"Targeting an RNA-binding Protein Splicing Network in Acute Myeloid Leukemia"
"GSE115121","GPL18573","Homo sapiens",19,FALSE,0,0,"",TRUE,FALSE,FALSE,"TAF1 is critical for AE driven leukemogenesis [RNA-seq]"
"GSE116187","GPL20301","Homo sapiens",12,FALSE,0,0,"",TRUE,FALSE,FALSE,"Homolog-selective degradation as a strategy to probe the function of CDK6 in AML"
"GSE116432","GPL16791","Homo sapiens",26,TRUE,5,6,"Dexamethasone -; Quizartinib; Quizartinib -; Quizartinib - 5d; Quizartinib + Dexmethasone -; Quizartinib + Dexmethasone - 5d",TRUE,FALSE,TRUE,"Glucocorticoids enhance the anti-leukemic activity of FLT3 inhibitors in FLT3 mutant acute"
"GSE117865","GPL16791","Homo sapiens",7,TRUE,0,1,"N/",TRUE,FALSE,FALSE,"DOT1L inhibition reveals a distinct class of enhancers dependent upon H3K79 methylation"
"GSE118565","GPL18573","Homo sapiens",18,TRUE,3,5,"1 μM doxorubicin; 1 μM doxorubicin, I-BET151; CX-5461; CX-5461, I-BET151; I-BET151",FALSE,FALSE,TRUE,"mRNA gene expression profiling in a human AML cell line treated with small molecule inhibi"
"GSE120221","GPL21290","Homo sapiens",25,FALSE,0,0,"",TRUE,FALSE,FALSE,"Human Bone Marrow Assessment by Single Cell RNA Sequencing, Mass Cytometry and Flow Cytome"
"GSE120715","GPL11154","Homo sapiens",88,FALSE,0,0,"",TRUE,FALSE,FALSE,"Quantitative analysis of bi-modal binding of BET proteins at promoters predicts I-BET sens"
"GSE121175","GPL570","Homo sapiens",6,TRUE,3,1,"HHT",TRUE,FALSE,TRUE,"Homoharringtonine deregulates MYC transcriptional expression by directly binding NF-κB rep"
"GSE121272","GPL16791","Homo sapiens",15,TRUE,3,2,"AC220; NCGC1481",FALSE,FALSE,TRUE,"Gene expression profile of a FLT3-ITD acute myeloid leukemia cell line treated with FLT3 i"
"GSE121291","GPL16043","Homo sapiens",30,TRUE,6,4,"FLAVO; JQ1; NVP2; SY-1365",TRUE,FALSE,TRUE,"SY-1365, a covalent, first in-class CDK7 inhibitor for cancer treatment (microarray mRNA)"
"GSE121425","GPL18573","Homo sapiens",12,TRUE,6,1,"GSK-LSD1",TRUE,FALSE,TRUE,"LSD1 pharmacological inhibition in SET-2 containing wild type and mutant LSD1 [RNA-Seq]"
"GSE121426","GPL18573","Homo sapiens",32,TRUE,16,1,"GSK-LSD1",TRUE,FALSE,TRUE,"LSD1 pharmacological inhibition in SET-2 containing wild type and mutant LSD1"
"GSE121431","GPL11154","Homo sapiens",2,FALSE,0,0,"",FALSE,FALSE,FALSE,"SY-1365, a covalent, first in-class CDK7 inhibitor for cancer treatment"
"GSE122428","GPL570","Homo sapiens",12,TRUE,3,3,"azacitidine; BAY1436032; BAY1436032 +azacitidine",FALSE,FALSE,TRUE,"Gene expression changes induced by hypomethylating agent, Azacitidine (AZA) ; IDH1 inhibit"
"GSE123207","GPL570","Homo sapiens",16,TRUE,8,1,"AZA",TRUE,FALSE,TRUE,"Azacitidine treated AML cells reveals highly variable cell surface proteome remodeling [Af"
"GSE123211","GPL570","Homo sapiens",16,TRUE,8,1,"AZA",TRUE,FALSE,TRUE,"Azacitidine treated AML cells reveals highly variable cell surface proteome remodeling"
"GSE123287","GPL11154","Homo sapiens",4,TRUE,2,1,"JSH-009",TRUE,TRUE,TRUE,"Targeting Transcriptional Addiction by a Novel Highly Selective CDK9 Kinase Inhibitor for "
"GSE124963","GPL18573","Homo sapiens",15,TRUE,5,3,"DHE; GFP IVT RNA; NR4A1 IVT RNA",TRUE,FALSE,TRUE,"Suppression of oncogenic super enhancers in MYC-dependent AMLs by NR4A Nuclear Receptors"
"GSE125112","GPL16791","Homo sapiens",96,TRUE,24,12,"552A_Day2_n1; 552A_Day2_n2; 552A_Day4_n1; 552A_Day4_n2; ATRA_Day2_n1; ATRA_Day2_n2",TRUE,FALSE,TRUE,"Lysine specific demethylase 1 inactivation enhances differentiation and promotes cytotoxic"
"GSE125403","GPL20301","Homo sapiens",26,TRUE,4,7,"Day 6 post sgCLPB#1 transduction; Day 6 post sgCLPB#2 transduction; Day 6 post sgRosa transduction; Day 8 post sgCLPB#1 transduction; Day 8 post sgCLPB#2 transduction; Day 8 post sgRosa transduction",TRUE,FALSE,TRUE,"Targeting mitochondrial structure sensitizes AML to Venetoclax"
"GSE125437","GPL16791","Homo sapiens",305,TRUE,101,5,"BAY-1251152; BAY-155; Brequinar; EPZ-5676; OTX015",TRUE,FALSE,TRUE,"Functional diversity of inhibitors tackling the differentiation arrest of MLL-rearranged l"
"GSE125719","GPL11154","Homo sapiens",8,TRUE,4,1,"LSD1",TRUE,FALSE,TRUE,"Transcriptomic analysis of LSD1i-sensitive and resistant AML cells"
"GSE126439","GPL16686","Homo sapiens",4,TRUE,0,1,"H4 molecule",TRUE,FALSE,FALSE,"Expression data of AML cells treated with out without H4"
"GSE126486","GPL16791","Homo sapiens",6,FALSE,0,0,"",TRUE,FALSE,FALSE,"Genome-wide CRISPR-Cas9 screen identifies druggable synthetic lethality between LSD1 and M"
"GSE126895","GPL11154","Homo sapiens",66,TRUE,33,1,"Etoposide",TRUE,FALSE,TRUE,"Drivers of topoisomerase II poisoning mimic and complement cytotoxicity in AML cells"
"GSE126933","GPL23227","Homo sapiens",16,TRUE,4,3,"GSI; TKI; TKI+GSI",TRUE,FALSE,TRUE,"Combinatorial inhibition of Notch and FLT3 exerts synergistic cytotoxic effects in FLT3/IT"
"GSE127298","GPL11154","Homo sapiens",224,TRUE,112,1,"VTP-50469",FALSE,FALSE,TRUE,"A novel Menin-MLL inhibitor induces specific chromatin changes and eradicates disease in m"
"GSE128103","GPL18641","Homo sapiens",15,FALSE,0,0,"",TRUE,FALSE,FALSE,"Differential gene expression in leukemic blasts and leukemic stem cells (LSC) sorted from "
"GSE128529","GPL9115","Homo sapiens",4,TRUE,0,1,"not",TRUE,TRUE,FALSE,"Targeting the scaffolding role of LSD1(KDM1A) poises acute myeloid leukemia cells for Reti"
"GSE128530","GPL9115","Homo sapiens",23,TRUE,4,5,"MC_2580; MC_2580 + RA; not; Not; RA",TRUE,TRUE,TRUE,"Targeting the scaffolding role of LSD1(KDM1A) poises acute myeloid leukemia cells for Reti"
"GSE128837","GPL9052","Homo sapiens",32,FALSE,0,0,"",TRUE,FALSE,FALSE,"The hematopoietic master transcription factor PU.1 requires its interaction with the SWI/S"
"GSE128950","GPL20301","Homo sapiens",12,TRUE,6,1,"ASLAN003",TRUE,FALSE,TRUE,"RNA-seq analysis of AML cells in response to ASLAN003"
"GSE129449","GPL16791","Homo sapiens",12,TRUE,3,3,"CDKI-73; JQ1; JQ1 + CDKI-73",TRUE,FALSE,TRUE,"Transcriptomic profiling of MLL-r AML PDX cells treated with CDKI-73 and/or JQ1"
"GSE129637","GPL18573","Homo sapiens",36,TRUE,0,1,"VTP50469",TRUE,FALSE,FALSE,"MLL-Menin inhibition reverses pre-leukemic progenitor self-renewal induced by NPM1c mutati"
"GSE129638","GPL18573","Homo sapiens",48,TRUE,6,2,"VTP-50469; VTP50469",TRUE,FALSE,TRUE,"MLL-Menin inhibition reverses pre-leukemic progenitor self-renewal induced by NPM1c mutati"
"GSE129698","GPL18573","Homo sapiens",24,TRUE,12,1,"Entospletinib",TRUE,FALSE,TRUE,"Resistance mechanisms to SYK inhibition in AML"
"GSE129862","GPL18573","Homo sapiens",4,TRUE,2,1,"YKL-05-099",TRUE,FALSE,TRUE,"Chemical Inhibition of Salt-Inducible Kinase as Therapeutic Strategy in Acute Myeloid Leuk"
"GSE129863","GPL18573","Homo sapiens",12,TRUE,6,1,"YKL-05-099",TRUE,FALSE,TRUE,"Chemical Inhibition of Salt-Inducible Kinase as Therapeutic Strategy in Acute Myeloid Leuk"
"GSE130140","GPL16791","Homo sapiens",5,FALSE,0,0,"",TRUE,FALSE,FALSE,"Cancer-specific CTCF binding facilitates oncogenic transcriptional dysregulation"
"GSE131147","GPL16791","Homo sapiens",12,TRUE,6,1,"tagraxofusp",TRUE,FALSE,TRUE,"Gene expression changes associated with resistance to tagraxofusp (SL-401)"
"GSE131358","GPL16791","Homo sapiens",12,TRUE,4,2,"SD36; SD36Me",TRUE,FALSE,TRUE,"A potent and selective small-molecule degrader of STAT3 achieves complete tumor regression"
"GSE131592","GPL18573","Homo sapiens",96,TRUE,48,1,"Daunorubicin",TRUE,FALSE,TRUE,"Transcriptional consequences of wild-type and missense mutant p53 in isogenic human acute "
"GSE132244","GPL10999","Homo sapiens",12,TRUE,3,3,"CPI-203; CPI-203 + Nutlin-3a; Nutlin-3a",FALSE,FALSE,TRUE,"Deep sequencing of an AML cell line treated with vehicle control, BETi, MDM2i, or a drug c"
"GSE132245","GPL18573","Homo sapiens",24,TRUE,6,3,"CPI-203; CPI-203 + Nutlin-3a; Nutlin-3a",FALSE,FALSE,TRUE,"Deep sequencing of an AML cell line, with and without p53, treated with vehicle control, B"
"GSE132396","GPL11154","Homo sapiens",2,FALSE,0,0,"",FALSE,FALSE,FALSE,"Epigenetic regulator genes direct the fate of multipotent precursor cell of origin in line"
"GSE132407","GPL18573","Homo sapiens",16,FALSE,0,0,"",TRUE,FALSE,FALSE,"PRMT5-mediated histone arginine methylation antagonizes transcriptional repression by poly"
"GSE132584","GPL18573","Homo sapiens",12,TRUE,6,1,"doxycycline",TRUE,FALSE,TRUE,"TFEB-induced gene expression changes in AML cells [RNA-seq]"
"GSE132587","GPL18573","Homo sapiens",36,TRUE,18,1,"doxycycline",TRUE,FALSE,TRUE,"TFEB-induced gene expression, 5hmC and 5mC changes in AML cells"
"GSE133112","GPL16791","Homo sapiens",9,TRUE,6,1,"FX1",TRUE,TRUE,TRUE,"BCL6 mediates Chemoresistance in Acute Myeloid Leukemia"
"GSE134506","GPL11154","Homo sapiens",12,TRUE,0,4,"Doxorubicin; Doxorubicin + Cytarabine; Doxorubicin + Cytarabine + Decitabine; No",TRUE,FALSE,FALSE,"Lineage tracing of acute myeloid leukemia reveals the impact of hypomethylating agents on "
"GSE134716","GPL570","Homo sapiens",28,FALSE,0,0,"",TRUE,FALSE,FALSE,"Expression array of DNMT1 inhibitor treated AML cell lines"
"GSE134742","GPL570","Homo sapiens",16,TRUE,6,3,"DAC; GSK3484862; GSK3510477",FALSE,FALSE,TRUE,"Expression array of DNMT1 inhibitor treated 3 AML cell lines"
"GSE135207","GPL21145","Homo sapiens",65,TRUE,19,3,"GSK032; GSK477; GSK862",TRUE,FALSE,TRUE,"Expression profiling and methylation analysis of DNMT1 inhibitor treated AML cell lines"
"GSE135378","GPL24676","Homo sapiens",156,TRUE,24,4,"DAC; GSK032; GSK477; GSK862",TRUE,FALSE,TRUE,"RNA-seq of DNMT1 inhibitor treated AML cell lines"
"GSE136032","GPL16791","Homo sapiens",8,TRUE,2,3,"tedizolid; venetoclax; venetoclax + tedizolid",TRUE,FALSE,TRUE,"Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoc"
"GSE136204","GPL11154","Homo sapiens",16,FALSE,0,0,"",TRUE,FALSE,FALSE,"Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating c"
"GSE136884","GPL20301","Homo sapiens",18,TRUE,9,1,"Stanniocalcin 1",FALSE,FALSE,TRUE,"The impact of stanniocalcin 1 on the transcriptome of human cord blood stem/progenitors"
"GSE137429","GPL18573","Homo sapiens",10,FALSE,0,0,"",FALSE,TRUE,FALSE,"Single Cell sequencing analysis of Bone Marrow samples"
"GSE137574","GPL17586","Homo sapiens",24,TRUE,12,1,"Kevetrin- cells after culture",FALSE,FALSE,TRUE,"Kevetrin induces apoptosis in TP53 wild-type and mutant acute myeloid leukemia cells"
"GSE137934","GPL16791","Homo sapiens",4,TRUE,2,1,"Licochalcone",TRUE,FALSE,TRUE,"Licochalcone A suppresses the proliferation of sarcoma HT-1080 cells, as a selective R132C"
"GSE138057","GPL20301","Homo sapiens",6,TRUE,3,1,"22d",TRUE,FALSE,TRUE,"FLT3 inhibition upregulates HDAC8 via FOXO to inactivate p53 and promote maintenance of FL"
"GSE138209","GPL18573","Homo sapiens",66,FALSE,0,0,"",TRUE,FALSE,FALSE,"Selective therapeutic targeting of the first and second bromodomains of the BET proteins i"
"GSE138210","GPL18573","Homo sapiens",161,FALSE,0,0,"",TRUE,FALSE,FALSE,"Selective therapeutic targeting of the first and second bromodomains of the BET proteins i"
"GSE138340","GPL16791","Homo sapiens",7,FALSE,0,0,"",FALSE,FALSE,FALSE,"Differential expression analysis of primary AML cells treated with AC220 vs DMSO in endoth"
"GSE139908","GPL16791","Homo sapiens",14,TRUE,0,2,"no drug , sample intact PDXK; no drug , sample PDXK knock-out",TRUE,FALSE,FALSE,"Vitamin B6 addiction in acute myeloid leukemia"
"GSE14","GPL4","Mus musculus",280,FALSE,0,0,"",TRUE,FALSE,FALSE,"Cancer Genome Anatomy Project (CGAP) SAGE Libraries"
"GSE142765","GPL18573","Homo sapiens",25,FALSE,0,0,"",TRUE,FALSE,FALSE,"PRMT5-mediated histone arginine methylation antagonizes transcriptional repression by poly"
"GSE144326","GPL21290","Homo sapiens",24,TRUE,8,2,"ABBV-075; ABBV-744",TRUE,FALSE,TRUE,"Selective inhibition of the second bromodomain of BET family proteins results in robust an"
"GSE144638","GPL23159","Homo sapiens",28,TRUE,14,1,"Pinometostat",FALSE,TRUE,TRUE,"Expression data from human AML cell lines"
"GSE144759","GPL20301","Homo sapiens",24,FALSE,0,0,"",TRUE,FALSE,FALSE,"Synergistic Targeting of FLT3 Mutations in AML via Combined Menin-MLL and FLT3 Inhibition"
"GSE144959","GPL16791","Homo sapiens",12,TRUE,0,1,"ActD",TRUE,FALSE,FALSE,"Sequencing of mRNA in AML cells upon ALKBH5 knockdown and actinomycin D treatment for diff"
"GSE144968","GPL16791","Homo sapiens",8,FALSE,0,0,"",TRUE,FALSE,FALSE,"Sequencing of mRNA in AML cells upon ALKBH5 knockdown"
"GSE144984","GPL16791","Homo sapiens",28,TRUE,0,1,"ActD",TRUE,FALSE,FALSE,"ALKBH5 regulates AML development and LSC as an m6A eraser"
"GSE145061","GPL16791","Homo sapiens",10,TRUE,5,1,"AraC",FALSE,FALSE,TRUE,"Acute myeloid leukemia cells resist chemotherapy through a transient senescence-like state"
"GSE145106","GPL21290","Homo sapiens",14,TRUE,4,2,"INCB059872; none",TRUE,FALSE,TRUE,"RNA-seq of MV-4-11 or THP-1 cells treated with LSD1 inhibitor INCB059872"
"GSE145285","GPL11154","Homo sapiens",8,TRUE,4,1,"CTX-034",FALSE,FALSE,TRUE,"Small-molecule inhibition of PRMT5 activates p53 in erythropoiesis through perturbation of"
"GSE145410","GPL24676","Homo sapiens",8,TRUE,2,3,"AZA; INCB059872; INCB059872+AZA",FALSE,FALSE,TRUE,"Single-cell RNA-seq of AML patient bone marrow treated with INCB059872, azacitidine, or co"
"GSE146362","GPL17586","Homo sapiens",36,TRUE,6,5,"ATO; ATO_ATRA; ATRA; JQ1; OTX015",TRUE,FALSE,TRUE,"Comprehensive comparison and biologic activity of novel therapeutic agents in NPM1 mutated"
"GSE146503","GPL24676","Homo sapiens",15,TRUE,3,4,"Azacitidine; BAY1436032; BAY1436032+Azacitidine sequential; BAY1436032+Azacitidine simultaneous",TRUE,FALSE,TRUE,"Gene expression changes induced by hypomethylating agent, Azacitidine (AZA); IDH1 inhibito"
"GSE146504","GPL21145","Homo sapiens",15,TRUE,3,4,"Azacitidine; BAY1436032; BAY1436032+Azacitidine sequential; BAY1436032+Azacitidine simultaneous",TRUE,FALSE,TRUE,"DNA methylation and gene expression changes induced by hypomethylating agent, Azacitidine "
"GSE146544","GPL16791","Homo sapiens",25,TRUE,11,3,"AraC; PDX models were AraC 5 consecutive days 60 mg/kg and harvested on day 29; PDX models were AraC 5 consecutive days 60 mg/kg and harvested on day 8",FALSE,FALSE,TRUE,"Acute myeloid leukemia cells resist chemotherapy through a transient senescence-like state"
"GSE146590","GPL20301","Homo sapiens",2,TRUE,1,0,"",FALSE,FALSE,FALSE,"Acute myeloid leukemia cells resist chemotherapy through a transient senescence-like state"
"GSE147510","GPL24676","Homo sapiens",2,TRUE,1,0,"",TRUE,FALSE,FALSE,"Opioid receptor signaling suppresses leukemia by inducing TET-dependent DNA demethylation "
"GSE147511","GPL24676","Homo sapiens",6,TRUE,3,1,"2 μM OPA1",TRUE,FALSE,TRUE,"Opioid agonists as potential AML therapy"
"GSE147534","GPL18573","Homo sapiens",4,TRUE,2,0,"",TRUE,FALSE,FALSE,"Selective inhibition of the second bromodomain of BET family proteins results in robust an"
"GSE148018","GPL16791","Homo sapiens",6,TRUE,3,1,"OSU-2S",TRUE,FALSE,TRUE,"PP2A dependent modulation of c-Myc and p21 leads to differentiation and cell cycle control"
"GSE148094","GPL26070","Homo sapiens",6,FALSE,0,0,"",TRUE,TRUE,FALSE,"AMPK activation enhances apoptotic priming and BCL2 dependence via PERK phosphorylation"
"GSE149049","GPL24676","Homo sapiens",12,TRUE,3,1,"Gilteritinib",FALSE,FALSE,TRUE,"Transcriptomic effects of combination Menin-MLL1 inhibition and FLT3 inhibition on human A"
"GSE149520","GPL11154","Homo sapiens",16,FALSE,0,0,"",TRUE,FALSE,FALSE,"RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or "
"GSE149548","GPL23159","Homo sapiens",18,TRUE,9,1,"Denatonium-",TRUE,FALSE,TRUE,"Denatonium as a bitter taste receptor agonist modifies transcriptomic profile and function"
"GSE150554","GPL18573","Homo sapiens",8,TRUE,2,3,"MS67; MS67N; OICR-9429",TRUE,FALSE,TRUE,"A selective WDR5 degrader inhibits acute myeloid leukemia in patient-derived mouse models["
"GSE150555","GPL18573","Homo sapiens",17,TRUE,6,3,"MS67; MS67N; OICR-9429",TRUE,FALSE,TRUE,"A selective WDR5 degrader inhibits acute myeloid leukemia in patient-derived mouse models"
"GSE150857","GPL20301","Homo sapiens",6,TRUE,0,3,"non-targeting control shRNA; shLIMK1_1; shLIMK1_2",TRUE,FALSE,FALSE,"Requirement for LIM kinases in acute myeloid leukemia"
"GSE151576","GPL16791","Homo sapiens",26,TRUE,0,7,"luc_WT; luc_Y2533A; sh988; sh993; shEV; W2554G",TRUE,FALSE,FALSE,"Histone H3 Lys27 trimethylation readout by a BAH domain of BAHCC1 directs gene silencing ["
"GSE151594","GPL24676","Homo sapiens",30,TRUE,4,4,"ATRA; ATRA+TCP; Baseline; TCP",TRUE,FALSE,TRUE,"Phase I Dose Escalation Study of ATRA Combined with the LSD1 inhibitor Tranylcypromine in "
"GSE152096","GPL20795","Homo sapiens",22,FALSE,0,0,"",TRUE,FALSE,FALSE,"Subtype-Specific and Structure Variation-Induced Chromatin Spatial Reorganization in Acute"
"GSE152136","GPL20301","Homo sapiens",16,FALSE,0,0,"",TRUE,FALSE,FALSE,"Subtype-Specific and Structure Variation-Induced Chromatin Spatial Reorganization in Acute"
"GSE152258","GPL24676","Homo sapiens",11,TRUE,5,1,"Decitabine",TRUE,FALSE,TRUE,"Non-canonical immune response to inhibition of DNA methylation via stabilization of dsRNAs"
"GSE152441","GPL24676","Homo sapiens",24,FALSE,0,0,"",TRUE,FALSE,FALSE,"Effect of folic acid deprivation on on transcriptome upon OTX treatment"
"GSE152442","GPL20301","Homo sapiens",24,TRUE,0,3,"ChIP using anti-H3K27me3 antibody; ChIP using anti-H3K9me2 antibody; sonicated Input chromatin",TRUE,FALSE,FALSE,"The Folate Cycle Enzyme MTHFR is a Critical Regulator of Cell Response to MYC-Targeting Th"
"GSE15309","GPL4","Homo sapiens",327,FALSE,0,0,"",TRUE,FALSE,FALSE,"Cancer Genome Anatomy Project (CGAP) Human SAGE"
